[t,theta1(t),theta2(t)] 
[0.5600000000000004, 0.06458816390173436, -0.14313414708671707] 
[0.5650000000000004, 0.06536050772355584, -0.14145296200500687] 
[0.5700000000000004, 0.06606903387259257, -0.13967465618212274] 
[0.5750000000000004, 0.06671373728289129, -0.13779966199525223] 
[0.5800000000000004, 0.067294656577708, -0.1358284743732112] 
[0.5850000000000004, 0.06781187447355992, -0.1337616511470539] 
[0.5900000000000004, 0.06826551821487542, -0.13159981344254879] 
[0.5950000000000004, 0.06865576003641577, -0.12934364611118093] 
[0.6000000000000004, 0.0689828176502452, -0.12699389819579665] 
[0.6050000000000004, 0.06924695475362448, -0.12455138342645306] 
[0.6100000000000004, 0.06944848155380004, -0.12201698074147861] 
[0.6150000000000004, 0.06958775530525708, -0.11939163482819036] 
[0.6200000000000004, 0.06966518085460173, -0.11667635667715304] 
[0.6250000000000004, 0.06968121118783834, -0.1138722241433072] 
[0.6300000000000004, 0.06963634797441487, -0.11098038250674197] 
[0.6350000000000005, 0.06953114210202542, -0.10800204502534698] 
[0.6400000000000005, 0.06936619419578866, -0.104938493471053] 
[0.6450000000000005, 0.06914215511506787, -0.10179107864086756] 
[0.6500000000000005, 0.06885972642086763, -0.09856122083343619] 
[0.6550000000000005, 0.06851966080643834, -0.09525041028141985] 
[0.6600000000000005, 0.0681227624834499, -0.09186020752958192] 
[0.6650000000000005, 0.06766988751586353, -0.08839224374813157] 
[0.6700000000000005, 0.06716194409344528, -0.08484822097058427] 
[0.6750000000000005, 0.06659989273672935, -0.08122991224518228] 
[0.6800000000000005, 0.06598474642516373, -0.07753916168877831] 
[0.6850000000000005, 0.0653175706401592, -0.07377788443203306] 
[0.6900000000000005, 0.0645994833148229, -0.06994806644482097] 
[0.6950000000000005, 0.0638316546822958, -0.06605176423088704] 
[0.7000000000000005, 0.06301530701483425, -0.06209110438105902] 
[0.7050000000000005, 0.06215171424608597, -0.058068282974700826] 
[0.7100000000000005, 0.06124220146941291, -0.053985564819600755] 
[0.7150000000000005, 0.06028814430561166, -0.049845282521126424] 
[0.7200000000000005, 0.05929096813397849, -0.04564983537225104] 
[0.7250000000000005, 0.058252147181360465, -0.04140168805696266] 
[0.7300000000000005, 0.057173203464626586, -0.037103369160609634] 
[0.7350000000000005, 0.05605570558287942, -0.032757469481907206] 
[0.7400000000000005, 0.05490126735670538, -0.028366640142626885] 
[0.7450000000000006, 0.0537115463128224, -0.023933590492402908] 
[0.7500000000000006, 0.052488242013620665, -0.019461085807607886] 
[0.7550000000000006, 0.051233094232292935, -0.014951944784858413] 
[0.7600000000000006, 0.049947880975505635, -0.010409036831394616] 
[0.7650000000000006, 0.04863441635685438, -0.005835279156316446] 
[0.7700000000000006, 0.04729454832566356, -0.0012336336684324331] 
[0.7750000000000006, 0.045930156257011294, 0.003392896311739119] 
[0.7800000000000006, 0.0445431484101707, 0.008041269516505835] 
[0.7850000000000006, 0.04313545926393688, 0.01270841036103168] 
[0.7900000000000006, 0.041709046738537384, 0.01739121272615373] 
[0.7950000000000006, 0.04026588931498254, 0.022086543879702436] 
[0.8000000000000006, 0.0388079830637827, 0.026791248520585186] 
[0.8050000000000006, 0.03733733859592397, 0.031502152928577054] 
[0.8100000000000006, 0.035855977949836144, 0.03621606920161094] 
[0.8150000000000006, 0.03436593142879167, 0.040929799561391395] 
[0.8200000000000006, 0.03286923440372997, 0.045640140707390246] 
[0.8250000000000006, 0.03136792409689747, 0.0503438881987305] 
[0.8300000000000006, 0.02986403636192285, 0.05503784084313884] 
[0.8350000000000006, 0.028359602476005163, 0.05971880507205167] 
[0.8400000000000006, 0.02685664595977836, 0.06438359928109716] 
[0.8450000000000006, 0.02535717944013128, 0.06902905811554359] 
[0.8500000000000006, 0.02386320157081242, 0.07365203668089583] 
[0.8550000000000006, 0.02237669402504147, 0.0782494146596261] 
[0.8600000000000007, 0.020899618573595687, 0.08281810031602845] 
[0.8650000000000007, 0.019433914260951285, 0.08735503437237017] 
[0.8700000000000007, 0.017981494691053913, 0.09185719374085778] 
[0.8750000000000007, 0.01654424543318411, 0.0963215950974168] 
[0.8800000000000007, 0.015124021557192197, 0.1007452982848793] 
[0.8850000000000007, 0.013722645306120957, 0.10512540953485432] 
[0.8900000000000007, 0.012341903912933149, 0.10945908449929904] 
[0.8950000000000007, 0.01098354756673379, 0.11374353108458485] 
[0.9000000000000007, 0.009649287532543037, 0.11797601208263822] 
[0.9050000000000007, 0.0083407944273524, 0.1221538475955065] 
[0.9100000000000007, 0.007059696653901938, 0.12627441725142988] 
[0.9150000000000007, 0.005807578992364297, 0.1303351622121733] 
